Description,Commenting,Ogling/Facial Expressions/Staring,Touching /Groping
there is a girl who was being touched aimlessly by boys in our school but she never reported to the teacher,0,0,1
This incident took place in the evening.Outside mall some boys were passing lewd comments on a girl who was standing alone.,1,0,0
teacher hitting student on the chicks,0,0,0
drunk men were harassing.,1,0,0
one boy next to my home always stares me,0,1,0
"Sexual harassment of my friend. She attended an evening school.On her way home,she took a bike at the park on reaching the house ,the bike man who carried her raped her in a plantation.it was very touching because she was unable to get up but was found in the morning and was taken to the hospital.",0,0,0
I saw two boys in the bike coming from the opposite direction snatches a golden chain of a middle aged  woman she was crying loud to get it back but they vanished in a few second from that place,0,0,0
Harassment in the metro feeder,0,0,1
"This incident took place on 20th september around 530 pm.I was going for my class,got down from my car and a guy pushed me.He was exposing his private parts.I bashed him along with the police.",0,0,0
A woman was thrown out of the house with her baby without food for two weeks. She depended on passersby for her and baby feeding. She was being harassed and taking advantaged of by hoodlums.Her child too was exposed to danger.,1,0,0
This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,0,1,0
one person snatch the chain,0,0,0
chain snatching due to por street lighting,0,0,0
"Sexual abuse on my friend.When she was coming back from the village farm, a man caught her and abused her sexually.",0,0,0
It was on the 25 th of Dec .I was just passing by some group of boys and they called out to me but I ignored them.The persisted by following me and I just ignored them.All of a sudden they started calling me names and all,0,0,1
This happened few minutes before in my street. two guys came in a bike and snatched a lady's chain and ran away. so shocking.. it all happened in such a bright noon when there was public all around..,0,0,0
one of my friend was molested during new year eve,0,0,1
I stay in a hostel near income tax. And often guys pass lees comments and stare girls in a way that make them uncomfortable. I have been through it many a times.,1,1,0
The cab driver kept brushing up against my leg and kept asking for my number.,0,0,1
"we were playing hide and seek game.  I hide in a neighbour's house when I peeped in his bed.  He was having sex with another kid, I reported but nobody believed they said I was a liar.",0,0,0
singing,1,0,0
harassment,0,1,1
acid attack,0,0,0
i used to face it almost everyday during my internship period .,1,1,0
while i was passing through the street some guys whistle me,0,0,0
This incident took place on 15th september 2013 around 7am.It happened in a park near Kanhaiya nagar metro station where my mother was teased by an unknown person.,0,0,0
"In class 12, while returning from my tuition classes, some of the boys passes lewd comments.",1,0,0
my own uncle harassed me when i was alone with him.,0,0,1
I was returning home from market when a boy standing near by passed vulgar comments.,1,0,0
"this incident happened at the wednesday market. a man was constantly staring at me and following me around. when i told a vendor nearby about it, he confronted the man who then went away. this happened in the evening.",0,1,0
"post sunset it gets very dark and scar, men loiter around and I feel unsafe",0,0,0
"One day a friend of mine was just moving along the road.It was on the 17th of January 2012 when she was strolling along the road,a man approached her and when she stopped to listen to the man she told him she was not interested.The man got annoyed and pulled her into a near by push .while they were there, no body was there to rescue her.After he had raped the girl he ran away.",0,0,0
a number of boys wistled and commented me when i was walking on street on bhaktpur,1,0,0
"I was in a vehicle going to town from Kariobangi, this man seated next to me started touching my breasts.  It felt indecent and there and then I alighted from the bus.",0,0,1
"as I was coming back from jamia millia,i was waiting for auto at the stand when a group of college boys passed filthy comments,i ignored them,after few min again 2 boys approached me and said very bad words,this made me feel like crying,i live here alone in the jamia hostel but its too not safe for any girl....I missed my parents who live in Bihar as I study in jamia....I am so sacred sometimes that I cry in my classes too....its very difficult to explain how it feels,even the univ. students pass filthy comments...it can be of any discipline,r either my classmates to who see me in the class and after the college they change as if if they are totally illitarare",1,1,0
An old man came near to me touched my private body part inside a tempoo.,0,0,1
it happened in evening,1,1,0
a black zen estilo with tinted glasses followed me throughout my way back,0,0,0
"the construction workers along the railway line, anytime a lady pass nearby they normally comment, catcal,whistle.  I have faced this several times",1,1,0
